port,p,d,q,MAE,RMSE,MAPE
Antwerp,1,0,2,8.52,10.94,17.35
Busan,1,0,5,6.11,7.98,13.12
Chiba,0,0,1,7.85,10.07,29.85
Guangzhou (Nansha),1,0,2,4.83,5.89,17.38
Gwangyang (Kwangyang),2,1,2,5.84,7.39,17.77
Hong Kong,1,0,3,5.22,6.45,13.01
Kaohsiung,1,0,5,5.32,7.49,26.47
Kobe,1,0,0,6.01,7.83,27.31
Mizushima,3,0,2,6.44,9.02,28.25
Nagoya,1,0,3,7.98,10.93,30.89
Ningbo,2,1,1,7.31,9.59,15.15
Port Klang,2,0,2,4.35,5.74,13.6
Qingdao,3,0,1,4.36,5.81,16.3
Rotterdam,1,0,1,8.91,11.7,12.44
Sakai-Semboku,1,0,2,5.9,7.3,29.96
Shanghai (Pudong),1,0,2,13.47,17.06,13.76
Singapore,2,0,5,9.86,14.09,7.24
Tianjin Xin Gang,1,0,3,6.14,8.08,25.15
Ulsan,2,1,2,5.4,7.49,24.8
Yokohama,4,0,0,7.2,9.42,28.14
