port,MAE,RMSE,MAPE
Antwerp,8.57,10.96,17.13
Busan,5.94,7.8,12.44
Chiba,7.69,9.86,26.78
Guangzhou (Nansha),4.78,5.87,18.16
Gwangyang (Kwangyang),5.95,7.5,18.38
Hong Kong,5.22,6.51,12.74
Kaohsiung,5.25,7.37,25.9
Kobe,6.01,7.84,27.43
Mizushima,6.94,9.22,28.75
Nagoya,8.0,10.72,29.41
Ningbo,7.32,9.66,15.27
Port Klang,4.63,5.97,15.12
Qingdao,4.41,5.92,16.78
Rotterdam,8.52,11.35,11.8
Sakai-Semboku,6.18,7.5,29.92
Shanghai (Pudong),14.57,18.51,15.07
Singapore,9.77,13.98,7.21
Tianjin Xin Gang,6.14,8.1,25.7
Ulsan,5.52,7.65,24.94
Yokohama,7.3,9.37,27.62
